Year,Driver,Delta_FP2_FP1,Elo,Team,TeamElo,RecencyWeight,Gap_FP1,Gap_FP2,Gap_FP3,Delta_FP3_FP2
2025,ALB,0.21300000000000807,,,,,0.3499999999999943,0.5630000000000024,,
2025,ALO,-0.22800000000000864,,,,,0.7630000000000052,0.5349999999999966,,
2025,ANT,-0.15400000000001057,,,,,0.8010000000000019,0.6469999999999914,,
2025,BEA,-0.4609999999999985,,,,,1.3649999999999949,0.9039999999999964,,
2025,BOR,-0.6270000000000095,,,,,1.5060000000000002,0.8789999999999907,,
2025,COL,0.20400000000000773,,,,,1.8559999999999945,2.0600000000000023,,
2025,GAS,0.3439999999999941,,,,,0.7049999999999983,1.0489999999999924,,
2025,HAD,-0.7360000000000042,,,,,1.222999999999999,0.48699999999999477,,
2025,HAM,-0.6210000000000093,,,,,0.7259999999999991,0.10499999999998977,,
2025,HUL,-0.10800000000000409,,,,,1.0150000000000006,0.9069999999999965,,
2025,LAW,-0.9970000000000141,,,,,1.4650000000000034,0.4679999999999893,,
2025,LEC,0.0,,,,,0.0,0.0,,
2025,NOR,-0.0040000000000048885,,,,,0.3260000000000076,0.32200000000000273,,
2025,OCO,-0.24400000000001398,,,,,1.4300000000000068,1.1859999999999928,,
2025,PIA,-0.3400000000000034,,,,,0.3780000000000001,0.0379999999999967,,
2025,RUS,0.2189999999999941,,,,,0.5180000000000007,0.7369999999999948,,
2025,SAI,0.22599999999998488,,,,,0.5700000000000074,0.7959999999999923,,
2025,STR,-2.51400000000001,,,,,3.6710000000000065,1.1569999999999965,,
2025,TSU,-0.5510000000000019,,,,,1.2680000000000007,0.7169999999999987,,
2025,VER,0.5499999999999972,,,,,0.1629999999999967,0.7129999999999939,,
