Year,Driver,Delta_FP2_FP1,Best_Q,Elo,Team,TeamElo,RecencyWeight,Gap_FP1,Gap_FP2,Gap_FP3,Delta_FP3_FP2
2023,ALB,0.4609999999999985,72.527,1.7296393747159027,Williams,1.6922289553213703,0.0,1.293999999999997,1.7549999999999955,1.1540000000000106,-0.6009999999999849
2023,ALO,-0.117999999999995,71.449,2.0384163413616414,Aston Martin,1.9152943666130027,0.0,0.33799999999999386,0.21999999999999886,0.9210000000000065,0.7010000000000076
2023,GAS,-0.8670000000000044,71.933,2.0682681118733357,Alpine,2.022367124813348,0.0,1.4939999999999998,0.6269999999999953,0.6770000000000067,0.05000000000001137
2023,HAM,-0.16500000000000625,71.725,2.0219076574637893,Mercedes,2.211867056028932,0.0,0.6629999999999967,0.49799999999999045,0.710000000000008,0.2120000000000175
2023,HUL,-1.355000000000004,73.279,1.987354078513653,Haas F1 Team,1.9276236063083048,0.0,2.4129999999999967,1.0579999999999927,0.8740000000000094,-0.1839999999999833
2023,LEC,-0.6560000000000059,71.471,2.505582462744051,Ferrari,2.3903604462648964,0.0,0.7210000000000036,0.06499999999999773,0.6989999999999981,0.6340000000000003
2023,NOR,-0.6509999999999962,72.254,2.444681872202843,McLaren,2.401320049162948,0.0,1.0949999999999989,0.4440000000000026,0.6200000000000045,0.17600000000000193
2023,OCO,-0.512999999999991,71.553,1.97646613775336,Alpine,2.022367124813348,0.0,1.2129999999999939,0.7000000000000028,0.7199999999999989,0.01999999999999602
2023,PIA,-0.6089999999999947,72.395,2.357958226123053,McLaren,2.401320049162948,0.0,1.8199999999999932,1.2109999999999985,1.2220000000000084,0.01100000000000989
2023,RUS,-0.9650000000000034,71.964,2.4018264545940737,Mercedes,2.211867056028932,0.0,1.6940000000000026,0.7289999999999992,0.8140000000000072,0.08500000000000796
2023,SAI,0.10699999999999932,71.63,2.2751384297857413,Ferrari,2.3903604462648964,0.0,0.0,0.10699999999999932,0.48499999999999943,0.3780000000000001
2023,STR,-0.5580000000000069,72.623,1.7921723918643635,Aston Martin,1.9152943666130027,0.0,1.281000000000006,0.722999999999999,0.16599999999999682,-0.5570000000000022
2023,TSU,-0.26899999999999125,72.082,1.9631812891757516,AlphaTauri,1.7578992461808112,0.0,1.4479999999999933,1.179000000000002,0.9620000000000033,-0.21699999999999875
2023,VER,-0.8719999999999999,71.365,2.610723212411138,Red Bull Racing,2.3851367953992084,0.0,0.8719999999999999,0.0,0.0,0.0
2024,ALB,-0.277000000000001,70.948,1.7296393747159027,Williams,1.6922289553213703,1.0,1.2560000000000002,0.9789999999999992,0.811000000000007,-0.16799999999999216
2024,ALO,-0.13100000000001444,72.019,2.0384163413616414,Aston Martin,1.9152943666130027,1.0,0.6060000000000088,0.4749999999999943,0.7180000000000035,0.2430000000000092
2024,GAS,-1.933000000000007,70.896,2.0682681118733357,Alpine,2.022367124813348,1.0,3.405000000000001,1.4719999999999942,0.7750000000000057,-0.6969999999999885
2024,HAM,0.18799999999998818,70.621,2.0219076574637893,Mercedes,2.211867056028932,1.0,0.0,0.18799999999998818,0.340999999999994,0.1530000000000058
2024,HUL,-0.11599999999999966,71.44,1.987354078513653,Haas F1 Team,1.9276236063083048,1.0,1.4069999999999965,1.2909999999999968,0.8229999999999933,-0.4680000000000035
2024,LEC,-0.22800000000000864,70.27,2.505582462744051,Ferrari,2.3903604462648964,1.0,0.22800000000000864,0.0,0.0,0.0
2024,NOR,0.4479999999999933,70.542,2.444681872202843,McLaren,2.401320049162948,1.0,0.22700000000000387,0.6749999999999972,0.6189999999999998,-0.055999999999997385
2024,OCO,-0.7140000000000128,71.285,1.97646613775336,Alpine,2.022367124813348,1.0,1.990000000000009,1.2759999999999962,1.1029999999999944,-0.17300000000000182
2024,PIA,1.0589999999999975,70.424,2.357958226123053,McLaren,2.401320049162948,1.0,0.028999999999996362,1.0879999999999939,0.5319999999999965,-0.5559999999999974
2024,RUS,0.8559999999999945,70.543,2.4018264545940737,Mercedes,2.211867056028932,1.0,0.12600000000000477,0.9819999999999993,0.5990000000000038,-0.38299999999999557
2024,SAI,-0.10099999999999909,70.518,2.2751384297857413,Ferrari,2.3903604462648964,1.0,0.7849999999999966,0.6839999999999975,0.6099999999999994,-0.07399999999999807
2024,STR,0.16399999999998727,71.563,1.7921723918643635,Aston Martin,1.9152943666130027,1.0,0.6200000000000045,0.7839999999999918,0.9620000000000033,0.17800000000001148
2024,TSU,0.3649999999999949,70.858,1.9631812891757516,RB,1.865379015862649,1.0,0.7060000000000031,1.070999999999998,0.6219999999999999,-0.44899999999999807
2024,VER,-0.28000000000000114,70.567,2.610723212411138,Red Bull Racing,2.3851367953992084,1.0,0.8149999999999977,0.5349999999999966,0.19700000000000273,-0.33799999999999386
