Year,Driver,Delta_FP2_FP1,Best_Q,Elo,Team,TeamElo,RecencyWeight,Gap_FP1,Gap_FP2,Gap_FP3,Delta_FP3_FP2,TotalLaps_FP1,TotalLaps_FP2,TotalLaps_FP3,SoftLaps_FP1,SoftLaps_FP2,SoftLaps_FP3,MeanSoftLap_FP1,MeanSoftLap_FP2,MeanSoftLap_FP3,AllLaps
2023,SAI,0.1069999999999993,71.63,2.2751384297857413,Ferrari,2.3903604462648964,0.0,0.0,0.1069999999999993,0.4849999999999994,0.3780000000000001,26.0,22.0,20.0,0.0,10.0,20.0,,102.714,100.32322222222221,68.0
2023,STR,-0.5580000000000069,72.623,1.7921723918643635,Aston Martin,1.915294366613003,0.0,1.281000000000006,0.722999999999999,0.1659999999999968,-0.5570000000000022,28.0,31.0,20.0,0.0,13.0,18.0,,95.09381818181818,88.74793333333334,79.0
2023,TSU,-0.2689999999999912,72.082,1.963181289175752,AlphaTauri,1.7578992461808112,0.0,1.4479999999999933,1.179000000000002,0.9620000000000032,-0.2169999999999987,28.0,22.0,21.0,0.0,11.0,20.0,,91.88520000000001,95.58755555555555,71.0
2023,VER,-0.8719999999999999,71.365,2.610723212411138,Red Bull Racing,2.3851367953992084,0.0,0.8719999999999999,0.0,0.0,0.0,26.0,30.0,19.0,0.0,6.0,19.0,,92.3578,96.24682352941176,75.0
2024,ALB,-0.277000000000001,70.948,1.729639374715903,Williams,1.6922289553213703,1.0,1.2560000000000002,0.9789999999999992,0.811000000000007,-0.1679999999999921,34.0,38.0,24.0,0.0,11.0,24.0,,89.4048,92.57700000000001,96.0
2024,ALO,-0.1310000000000144,72.019,2.0384163413616414,Aston Martin,1.915294366613003,1.0,0.6060000000000088,0.4749999999999943,0.7180000000000035,0.2430000000000092,26.0,37.0,25.0,13.0,12.0,14.0,85.12845454545456,89.30090909090909,93.40466666666667,88.0
2024,GAS,-1.933000000000007,70.896,2.068268111873336,Alpine,2.022367124813348,1.0,3.405000000000001,1.4719999999999942,0.7750000000000057,-0.6969999999999885,10.0,35.0,26.0,0.0,12.0,26.0,,91.1290909090909,90.42529166666667,71.0
2024,HAM,0.1879999999999881,70.621,2.0219076574637893,Mercedes,2.211867056028932,1.0,0.0,0.1879999999999881,0.340999999999994,0.1530000000000058,35.0,32.0,25.0,7.0,7.0,25.0,90.70133333333332,95.91566666666665,95.77725000000001,92.0
2024,HUL,-0.1159999999999996,71.44,1.987354078513653,Haas F1 Team,1.9276236063083048,1.0,1.4069999999999965,1.2909999999999968,0.8229999999999933,-0.4680000000000035,34.0,34.0,24.0,0.0,15.0,24.0,,90.61792307692306,93.56280952380952,92.0
2024,LEC,-0.2280000000000086,70.27,2.505582462744051,Ferrari,2.3903604462648964,1.0,0.2280000000000086,0.0,0.0,0.0,33.0,37.0,26.0,0.0,13.0,26.0,,88.00766666666668,95.66434782608694,96.0
2024,NOR,0.4479999999999933,70.542,2.444681872202843,McLaren,2.401320049162948,1.0,0.2270000000000038,0.6749999999999972,0.6189999999999998,-0.0559999999999973,33.0,35.0,24.0,4.0,12.0,23.0,82.36166666666666,91.20509999999999,92.37131578947367,92.0
2024,OCO,-0.7140000000000128,71.285,1.97646613775336,Alpine,2.022367124813348,1.0,1.990000000000009,1.2759999999999962,1.1029999999999944,-0.1730000000000018,33.0,34.0,25.0,0.0,14.0,25.0,,86.11407692307694,91.80673913043479,92.0
2024,PIA,1.0589999999999975,70.424,2.357958226123053,McLaren,2.401320049162948,1.0,0.0289999999999963,1.087999999999994,0.5319999999999965,-0.5559999999999974,31.0,35.0,25.0,8.0,0.0,23.0,88.47614285714285,,92.97931578947369,91.0
2024,RUS,0.8559999999999945,70.543,2.4018264545940737,Mercedes,2.211867056028932,1.0,0.1260000000000047,0.9819999999999992,0.5990000000000038,-0.3829999999999955,35.0,30.0,33.0,6.0,9.0,33.0,92.9126,90.37775,92.6861724137931,98.0
2024,SAI,-0.100999999999999,70.518,2.2751384297857413,Ferrari,2.3903604462648964,1.0,0.7849999999999966,0.6839999999999975,0.6099999999999994,-0.073999999999998,35.0,36.0,26.0,0.0,11.0,26.0,,97.872,100.734375,97.0
2024,STR,0.1639999999999872,71.563,1.7921723918643635,Aston Martin,1.915294366613003,1.0,0.6200000000000045,0.7839999999999918,0.9620000000000032,0.1780000000000114,26.0,22.0,25.0,12.0,10.0,13.0,95.97120000000001,94.62188888888889,95.04,73.0
2024,TSU,0.3649999999999949,70.858,1.963181289175752,RB,1.865379015862649,1.0,0.7060000000000031,1.070999999999998,0.6219999999999999,-0.448999999999998,34.0,36.0,27.0,17.0,0.0,26.0,92.76719999999999,,97.08375,97.0
2024,VER,-0.2800000000000011,70.567,2.610723212411138,Red Bull Racing,2.3851367953992084,1.0,0.8149999999999977,0.5349999999999966,0.1970000000000027,-0.3379999999999938,29.0,37.0,27.0,0.0,10.0,27.0,,86.511,93.45044,93.0
